date,playTitle,authorName,originalTitle,originalAuthorName
1751-08-23,Het spoockend weeuwtje,Nil Volentibus Arduum group,l'Esprit follet,"Le Métel d'Ouville, Antoine"
1751-08-26,De doodt van Julius Cezar. Treurspel,"Clyburg, Jacob",La mort de César,"Barbier, Marie-Anne"
1751-08-30,De verduytste Cid. Bly-eindend treurspel,"Heemskerk, Johan van",Le Cid. Tragi-comedie.,"Corneille, Pierre"
1751-09-02,"Elektra, treurspel [by Malfait]","Malfait (de jonge), Philip",Électre,"Crébillon, Prosper Jolyot de"
1751-09-06,"Konradyn, koning van Napels en Siciliën. Treurspel","Smids, Ludolph",,
1751-09-09,"Arzases, of 't Edelmoedig verraad, treurspel","Huydecoper, Balthasar",,
1751-09-11,"Geta, of De broedermoort van Antoninus, treurspel","Haverkamp, Johannes","Géta, tragédie","Péchantré, Nicolas de"
1751-09-13,De verwaande Hóllandsche Franschman. Blyspél,"Pels, Andries",,
1751-09-16,"De deugdzame hoveling, treurspel","Bruin, Claas",,
1751-09-18,"Rhadamistus en Zenobia, treurspel","Bogaert, Abraham","Rhadamiste et Zénobie, tragédie","Crébillon, Prosper Jolyot de"
1751-09-20,"De toveryen van Armida, of het belegerde Jeruzalem, treurspel","Peys, Adriaen",,
1751-09-21,De beklaaglyke dwang,"Vos, Isaac",La fuerza lastimosa,"Lope de Vega y Carpio, Félix"
1751-09-22,Don Quichot op de bruiloft van Kamácho; blyspel,"Langendijk, Pieter",,
1751-09-23,"Jupiter en Amphitrion, of De twee gelyke Sosiaas. Blyspel","Koning, Harmanus","Amphitryon, comédie","Molière (ps. Poquelin, Jean Baptiste)"
1751-09-24,De verhinderde wraak van Cajus Martius Coriolanus. Treurspel,"Bruin, Claas",Coriolan: tragedie,"Abeille, Gaspard"
1751-09-25,"Sophonisba, treurspel","Haps, Pieter Willem van",,
1751-09-27,Reinout in het betoverde hof; zynde het gevolg van Armida,"Pluimer, Joan",,
1751-09-28,"De stantvastige Genoveva, ofte Herstelde onnooselheyt. Bly-eyndend-treurspel","Wouthers, Anthoon Frans","Genevieve, ou l'Innocence reconnue","d'Aure, Francois"
1751-09-29,"Spaensche heidin, a.k.a. Het leven van Konstance [by Matt. Tengnagel]","Tengnagel, Mattheus Gansneb",La gitanilla de Madrid,"Cervantes y Saavedra, Miguel de"
1751-09-30,De gekroonde na haar dood. Treurspel,"Heulen, Christiaan van",Reinar después de morir,"Vélez de Guevara, Luis"
1751-10-01,"Den grooten Tamerlan, met de doodt van Bayaset de I, Turks keizer","Serwouters, Joannes",La nueva ira de Dios y Tamerlán de Persia,"Vélez de Guevara, Luis"
1751-10-01,"Den grooten Tamerlan, met de doodt van Bayaset de I, Turks keizer","Serwouters, Joannes","Le grand Tamerlan et Bajazet, tragedie","Magnon, Jean"
1751-10-02,Agamemnon. Treurspel,"Rijk, Frans",Agamemnon. Tragedie,"Boyer, Claude"
1751-10-04,Beleg en ontset der stadt Leyden,"Bondt, Reinier de",,
1751-10-07,Beleg en ontset der stadt Leyden,"Bondt, Reinier de",,
1751-10-09,Beleg en ontset der stadt Leyden,"Bondt, Reinier de",,
1751-10-11,Beleg en ontset der stadt Leyden,"Bondt, Reinier de",,
1751-10-14,Beleg en ontset der stadt Leyden,"Bondt, Reinier de",,
1751-10-16,Beleg en ontset der stadt Leyden,"Bondt, Reinier de",,
1751-10-18,Beleg en ontset der stadt Leyden,"Bondt, Reinier de",,
1751-10-21,"Don Louis de Vargas, of Edelmoedige wraek","Heynck, Dirk Pietersz",El tejedor de Segovia,"Ruiz de Alarcón y Mendoza, Juan"
1751-10-23,Sertorius,"Haverkamp, Johannes",Sertorius,"Corneille, Pierre"
1751-11-15,Het gewaande bloedverwantschap; blyspel,"Wandelaar, Jan",,
1751-11-20,"Sesostris, koning van Egipte, treurspel","Mauricius, Johan Jacob",Amasis. Tragedie,"Lagrange Chancel, François Joseph de"
1751-11-22,"De dood van Johan en Garcias, of De onzydige regtspleeging van Cosmos de Medicis, groothertog van Toscanen. Treurspel","Bruin, Claas",,
1751-11-27,De Mode,"Bernagie, Pieter",,
1751-11-29,"Antipater, of De dood van Alexander en Aristobulus. Treurspel","Heems, Abraham",,
1751-12-04,"Cato, of De ondergang der roomsche vryheid","Angelkot jr., Hermannus","Cato, a Tragedy","Addison, Joseph"
1751-12-06,De dobbelaar; blyspel [by F. Rijk],"Rijk, Frans",Le joueur,"Regnard, Jean François"
1751-12-11,"Jacoba van Beieren, gravin van Holland en Zeeland. Treurspel","Marre, Jan de",,
1751-12-13,De looghenaar,"Meijer, Lodewijk",Le Menteur,"Corneille, Pierre"
1751-12-18,"Pompejus, treurspel","Sebille, Charles","La Mort de Pompée, tragédie","Corneille, Pierre"
1751-12-20,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van",,
1751-12-20,Gysbreght van Aemstel,"Vondel, Joost van den",,
1751-12-27,Gysbreght van Aemstel,"Vondel, Joost van den",,
1751-12-27,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van",,
1752-01-03,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van",,
1752-01-03,Gysbreght van Aemstel,"Vondel, Joost van den",,
1752-01-08,Gysbreght van Aemstel,"Vondel, Joost van den",,
1752-01-08,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van",,
1752-01-10,Gysbreght van Aemstel,"Vondel, Joost van den",,
1752-01-10,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van",,
1752-01-15,"Achilles, treurspel","Huydecoper, Balthasar",,
1752-01-17,"Krispyn, testateur en gelegateerde, of De erfgenaam door list; blyspel","Lochem, Hermanus van",Le légataire universel,"Regnard, Jean François"
1752-01-22,Berenice. Treurspel,"Rijk, Frans","Bérénice, tragédie","Racine, Jean"
1752-01-24,"Sardanapalus, treurspel","Lingelbach, David",,
1752-01-29,Artemines. Treurspel,"Winter-van Merken, Lucretia Wilhelmina van",,
1752-02-05,De dood van Cajus Gracchus. Treurspel,"Pater, Lucas","Cornélie, mère des Gracques. Tragédie","Barbier, Marie-Anne"
1752-02-07,"De glorieus, of De vernederde hoogmoed; tooneelspel","Elvervelt, Henrik van","Le Glorieux, comédie","Destouches, (ps. Philippe Néricault)"
