Issue #,year,date,DOW,sup,LOC of ad,works mentioned,Performance Location,date of performance,order,author,genre,# acts,bnft,benefit name,other name/function,actors mentioned,Amtr,Role,Additional information,,,,,,,,,,,,,,,,,,
960,1809,9/6,Wed,n,P2C4,L'Abbé de l'épée,Saint-Philippe,9/7/1809,2,Boully,comédie,5,y,Mr. A. Daudet,,Mr Tabary,n,L'Abbé de L'Épée,"mostly a reprint of the previous issue, but is a rescheduling of this performance. Contains an apology for having to delay the performance because of the rain",,,,,,,,,,,,,,,,,,
991,1809,12/23,Sat,n,P3C1,L'Abbé de l'épée,Saint-Pierre,12/24/1809,1,Bouilly,Drame,5,n,,,,,,"""Influteur(?) des Sourds & Muets""",,,,,,,,,,,,,,,,,,
1149,1811,4/25,Thurs,n,P3C1,L'Abbé de l'épée,Saint-Philippe,4/25/1811,1,Bouilly,comédie,5,n,,,M. Tabary,n,L'Abbé de l'Épée,"""Pour le rentrée de M. Tabary""",,,,,,,,,,,,,,,,,,
1231,1811,11/2,Sat,,P2C4,L'Abbé de l'épée,Saint-Philippe,11/3/1811,1,Bouilly,Drame historique,5,n,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,1806,4/19,Sat,,,L'Épreuve délicate,Saint-Pierre,4/20/1806,1,,comédie nouvelle,,,,,,,,,,,,,,,,,,,,,,,,,,
654,1806,9/24,Wed,,,L'Épreuve délicate,Saint-Pierre,9/25/1806,1,,comédie,,,,,,,,,,,,,,,,,,,,,,,,,,
718,1807,5/13,Wed,n,P3C1,L'Épreuve délicate,Saint-Pierre,5/14/1807,1,,comédie,,,,,,,,,,,,,,,,,,,,,,,,,,
774,1807,11/25,Wed,n,P2C4,L'Épreuve délicate,Saint-Pierre,11/26/1807,1,Roger,Comédie,1,n,,,,,,"preceeds Visitandines, but is listed after",,,,,,,,,,,,,,,,,,
805,1808,3/12,Sat,n,"P3C2,P3C1",L'Épreuve délicate,Saint-Pierre,3/13/1808,1,Roger,comédie,1,n,,,,,,"preceeds Azemia, but is listed after",,,,,,,,,,,,,,,,,,
824,1808,5/18,Wed,n,"P2C3,P2C2",L'Épreuve délicate,Saint-Pierre,5/19/1808,1,Roger,comédie,1,n,,,,,,"Preceeds La Rosière de Salency, but is listed after",,,,,,,,,,,,,,,,,,
