work,original_genre,grouped_genre,year
"Gulistan, ou Le hulla de Samarcande",opéra,Opera,1811.0
"Gulnare, ou l'Esclave persane",,Opera,1806.0
"Gulnare, ou l'Esclave persane",opéra,Opera,1806.0
"Gulnare, ou l'Esclave persane",opéra,Opera,1806.0
"Gulnare, ou l'Esclave persane",,Opera,1806.0
"Gulnare, ou l'Esclave persane",Opéra,Opera,1807.0
"Gulnare, ou l'Esclave persane",opéra,Opera,1808.0
"Gulnare, ou l'Esclave persane",opéra,Opera,1809.0
"Gulnare, ou l'Esclave persane",opéra,Opera,1809.0
"Gulnare, ou l'Esclave persane",opéra,Opera,1811.0
"Gulnare, ou l'Esclave persane",Opéra,Opera,1811.0
Héritier par testament,comédie,Comedy,1812.0
"Hermann & Verner, ou Les Deux Militaires",comédie,Comedy,1811.0
Heureusement,comédie,Comedy,1808.0
Heureusement,comédie,Comedy,1808.0
Holopherne et Judith,,,1807.0
Ida ou Le Jupon Vert,comédie anecdotique,Comedy,1811.0
"Il arrive, Il arrive, ou Le retour de M. Dumolet dans sa famille",Folie vaudeville,Vaudeville,1812.0
Il ne faut pas condamner sans entendre,vaudeville nouveau,Vaudeville,1805.0
Il ne faut pas condamner sans entendre,comédie proverbe,Comedy,1806.0
Isabelle & Rosalvo,Opéra,Opera,1807.0
Isabelle & Rosalvo,opéra,Opera,1810.0
Isabelle & Rosalvo,opéra,Opera,1810.0
Isabelle & Rosalvo,opéra,Opera,1810.0
Jaloux Malgré lui,comédie nouvelle,Comedy,1808.0
Jaloux Malgré lui,comédie nouvelle,Comedy,1808.0
Jaloux Malgré lui,comédie,Comedy,1809.0
Jaloux Malgré lui,comédie,Comedy,1809.0
Jambe de Bois ou la  Piété Filiale,opéra,Opera,1810.0
Jambe de Bois ou la Piété Filiale,opéra,Opera,1811.0
Jambe de Bois ou la Piété Filiale,opéra,Opera,1811.0
"Janot, ou Les battus paient l'amende",Comédie-proverbe,Comedy,1806.0
"Janot, ou Les battus paient l'amende",Proverbe Comédie-Parade,Comedy,1807.0
"Janot, ou Les battus paient l'amende",comédie,Comedy,1808.0
Jean qui Pleure & Jean qui Rit,comédie,Comedy,1808.0
Jean qui Pleure & Jean qui Rit,,Comedy,1808.0
Jean qui Pleure & Jean qui Rit,comédie,Comedy,1808.0
"Jérôme Pointu, ou Pour bien prêcher il faut prêcher d'exemple",comédie proverbe,Comedy,1806.0
"Jérôme Pointu, ou Pour bien prêcher il faut prêcher d'exemple",comédie,Comedy,1807.0
"Jérôme Pointu, ou Pour bien prêcher il faut prêcher d'exemple",Comédie,Comedy,1808.0
"Jérôme Pointu, ou Pour bien prêcher il faut prêcher d'exemple",Comédie,Comedy,1808.0
"Jérôme Pointu, ou Pour bien prêcher il faut prêcher d'exemple",comédie,Comedy,1809.0
Jeune Homme Enlevé ou La Coutume Hollandaise,Comédie nouvelle,Comedy,1808.0
Jeune Homme Enlevé ou La Coutume Hollandaise,Comédie nouvelle,Comedy,1808.0
Jeune Homme Enlevé ou La Coutume Hollandaise,comédie,Comedy,1809.0
Jeune Médicine ou l'Influences des Perruques,comédie,Comedy,1808.0
Jeune Sage & le Vieux Fou,comédie nouvelle,Comedy,1809.0
Jeune Sage & le Vieux Fou,comédie,Comedy,1809.0
Jeunesse d'Henri V,Comédie,Comedy,1808.0
Jeunesse d'Henri V,Comédie,Comedy,1808.0
Jeunesse d'Henri V,comédie,Comedy,1808.0
Jeunesse d'Henri V,Comédie,Comedy,1809.0
Jeunesse d'Henri V,comédie,Comedy,1809.0
John Bull ou Le coin du feu d'une famille anglaise,comédie,Comedy,1812.0
Joseph vendu par ses frères,opéra,Opera,1812.0
Joseph vendu par ses frères,opéra,Opera,1812.0
Joseph vendu par ses frères,opéra,Opera,1812.0
Joseph vendu par ses frères,opéra,Opera,1812.0
Julie ou Le Pot de Fleurs,opéra nouveau,Opera,1811.0
Julie ou Le Pot de Fleurs,opéra,Opera,1811.0
"Julie, ou Le Pot de Fleurs",Opéra,Opera,1811.0
"Julie, ou Le Pot de Fleurs",opéra,Opera,1812.0
L'Abbé de l'épée,drame,Drame-Comedy,1806.0
L'Abbé de l'épée,drame,Drame-Comedy,1806.0
L'Abbé de l'épée,drame,Drame-Comedy,1806.0
L'Abbé de l'épée,,Drame-Comedy,1806.0
L'Abbé de l'épée,Drame,Drame-Comedy,1807.0
L'Abbé de l'épée,,Drame-Comedy,1807.0
L'Abbé de l'épée,comédie,Drame-Comedy,1808.0
L'Abbé de l'épée,comédie historique,Drame-Comedy,1808.0
L'Abbé de l'épée,comédie,Drame-Comedy,1809.0
L'Abbé de l'épée,Drame,Drame-Comedy,1809.0
L'Abbé de l'épée,comédie,Drame-Comedy,1811.0
L'Abbé de l'épée,Drame historique,Drame-Comedy,1811.0
l'Alcade de Molorido,comédie,Comedy,1812.0
L'amant Bourru,Comédie,Comedy,1807.0
L'Amant Bourru,Comédie,Comedy,1807.0
L'Amant Bourru,comédie,Comedy,1810.0
L'Amant Jaloux,opéra,Opera,1810.0
L'Amant Jaloux ou Les Fausses Apparences,opéra,Opera,1809.0
L'Amant Jaloux ou Les Fausses Apparences,opéra,Opera,1809.0
L'Amant Jaloux ou Les Fausses Apparences,opéra,Opera,1810.0
L'Amant Jaloux ou Les Fausses Apparences,opéra,Opera,1811.0
L'Amant Jaloux ou Les Fausses Apparences,opéra,Opera,1811.0
L'Amant Jaloux ou Les Fausses Apparences,opéra,Opera,1811.0
L'amant statue,opéra,Opera-Comedy,1805.0
L'amant statue,opéra,Opera-Comedy,1806.0
L'amant statue,,Opera-Comedy,1806.0
L'Amant Statue,opéra,Opera-Comedy,1806.0
L'Amant Statue,opéra-comique,Opera-Comedy,1807.0
L'Amant Statue,Opéra,Opera-Comedy,1808.0
L'Amant Statue,opéra,Opera-Comedy,1810.0
L'Amant Statue,opéra,Opera-Comedy,1811.0
L'ami de la maison,opéra,Opera,1806.0
L'Amour Filial ou La Jambe de Bois,opéra nouveau,Opera,1809.0
L'Amour Filial ou La Jambe de Bois,opéra,Opera,1809.0
L'Amour Filial ou La Jambe de Bois,opéra,Opera,1810.0
L'Anglais à Bordeaux,comédie,Comedy,1805.0
L'Anglais à Bordeaux,comédie,Comedy,1810.0
L'Anglais à Bordeaux,comédie,Comedy,1811.0
L'Anglais à Paris,comédie,Comedy,1806.0
"L'Anglais, ou Le Fou Raisonnable",Comédie,Comedy,1808.0
"L'Anglais, ou Le Fou Raisonnable",comédie,Comedy,1810.0
L'Anglaise,dansée,Other,1809.0
L'autre tartuffe ou la Mère coupable,drame,Drame,1806.0
L'autre tartuffe ou la Mère coupable,drame,Drame,1806.0
L'autre tartuffe ou la Mère coupable,comédie,Comedy,1807.0
L'autre tartuffe ou la Mère coupable,drame,Drame,1808.0
L'autre tartuffe ou la Mère coupable,drame,Drame,1811.0
L'Avare,Comédie,Comedy,1807.0
L'Avare,comédie,Comedy,1810.0
L'Avare,comédie,Comedy,1811.0
L'Aveugle Clairvoyant,comédie,Comedy,1810.0
L'Avocat,comédie nouvelle,Comedy,1811.0
L'Avocat Chansonnier,,,1808.0
L'Avocat Patelin,,,1807.0
L'Avocat Patelin,,,1807.0
l'Ecole de l'Adolescence,comédie,Comedy,1809.0
l'Ecole de l'Adolescence,comédie,Comedy,1809.0
L'École des Banqueroutes,comédie,Comedy,1811.0
L'École des Banqueroutes,comédie,Comedy,1811.0
L'École des Bourgeois,comédie,Comedy,1810.0
L'école des femmes,Comédie,Comedy,1806.0
"L'Ecole Tragique, ou Cadet Roussel Maître de déclamation",Comédie,Comedy,1807.0
