year,date,title,author
1752,1752-01-03,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van"
1752,1752-01-03,De bruiloft van Kloris en Roosje,"Buysero, Dirk"
1752,1752-01-08,Gysbreght van Aemstel,"Vondel, Joost van den"
1752,1752-01-08,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van"
1752,1752-01-08,De bruiloft van Kloris en Roosje,"Buysero, Dirk"
1752,1752-01-10,Gysbreght van Aemstel,"Vondel, Joost van den"
1752,1752-01-10,De bruiloft van Kloris en Roosje,"Rijndorp, Jacob van"
1752,1752-01-10,De bruiloft van Kloris en Roosje,"Buysero, Dirk"
1752,1752-01-15,"Achilles, treurspel","Huydecoper, Balthasar"
1752,1752-01-17,Le légataire universel,"Regnard, Jean François"
1752,1752-01-22,"Bérénice, tragédie","Racine, Jean"
1752,1752-01-24,"Sardanapalus, treurspel","Lingelbach, David"
1752,1752-01-29,Artemines. Treurspel,"Winter-van Merken, Lucretia Wilhelmina van"
1752,1752-01-31,Le Distrait,"Regnard, Jean François"
1752,1752-02-05,"Cornélie, mère des Gracques. Tragédie","Barbier, Marie-Anne"
1752,1752-02-07,"Le Glorieux, comédie","Destouches, (ps. Philippe Néricault)"
1752,1752-02-12,"Beleazar, treurspel","Steenwijk, Frans van"
1752,1752-02-14,Démocrite,"Regnard, Jean François"
1752,1752-02-19,Le mariage d'Oroondate et de Statire,"Magnon, Jean"
1752,1752-02-19,Le mariage d'Oroondate et de Statire,"Magnon, Jean"
1752,1752-02-21,Le Cid. Tragi-comedie.,"Corneille, Pierre"
1752,1752-02-28,Andromède. Tragedie,"Corneille, Pierre"
1752,1752-03-06,Andromède. Tragedie,"Corneille, Pierre"
1752,1752-03-11,Andromède. Tragedie,"Corneille, Pierre"
1752,1752-03-13,Andromède. Tragedie,"Corneille, Pierre"
1752,1752-03-18,Andromède. Tragedie,"Corneille, Pierre"
1752,1752-03-20,Andromède. Tragedie,"Corneille, Pierre"
1752,1752-03-25,Iphigénie,"Racine, Jean"
1752,1752-03-27,"La folle gageure, ou Les divertissemens de la comtesse de Pembroc","Le Métel de Boisrobert, François"
1752,1752-04-01,Childeric,"Morand, Pierre de"
1752,1752-04-04,De toets der minnaars in het konstpaleis van Fenix,"Kroon, Daniel"
1752,1752-04-06,De toets der minnaars in het konstpaleis van Fenix,"Kroon, Daniel"
1752,1752-04-08,De toets der minnaars in het konstpaleis van Fenix,"Kroon, Daniel"
1752,1752-04-10,De toets der minnaars in het konstpaleis van Fenix,"Kroon, Daniel"
1752,1752-04-13,Arlequin Sauvage,"La Font, Joseph de"
1752,1752-04-13,Arlequin Sauvage,"Delisle de La Drevetière, Louis François"
1752,1752-04-15,"Constantinus de Groote, Eerste Christen' Keiser. Treurspel","Bernagie, Pieter"
1752,1752-04-17,"L'Embarras des richesses, comédie","Allainval, Léonor Jean Christine Soulas d'"
1752,1752-04-20,"Heraclius, empereur d'Orient","Corneille, Pierre"
1752,1752-04-22,"Attila, Roy des Huns","Corneille, Pierre"
1752,1752-04-24,Reinar después de morir,"Vélez de Guevara, Luis"
1752,1752-04-27,"Sabinus et Éponine, tragédie","Richer, Henri"
1752,1752-05-01,De doodelyke minnenyd; treurspel,"Hoeven, Willem van der"
1752,1752-05-04,Le fatiche d'Ercole per Deianira. Drama per musica,"Aureli, Aurelio"
1752,1752-05-08,"Konradyn, koning van Napels en Siciliën. Treurspel","Smids, Ludolph"
1752,1752-08-07,El tejedor de Segovia,"Ruiz de Alarcón y Mendoza, Juan"
1752,1752-08-10,Mudanzas de la fortuna y firmezas del amor,"Monroy y Silva, Cristóbal de"
1752,1752-08-10,Mudanzas de la fortuna y firmezas del amor,"Monroy y Silva, Cristóbal de"
1752,1752-08-12,"Mahomet second, tragédie","Sauvé dit de La Noue, Jean-Baptiste"
1752,1752-08-14,La fuerza lastimosa,"Lope de Vega y Carpio, Félix"
1752,1752-08-14,La fuerza lastimosa,"Lope de Vega y Carpio, Félix"
1752,1752-08-17,"De deugdzame hoveling, treurspel","Bruin, Claas"
1752,1752-08-19,Eneas en Turnus; treurspel,"Rotgans, Lukas"
1752,1752-08-21,"De toveryen van Armida, of het belegerde Jeruzalem, treurspel","Peys, Adriaen"
1752,1752-08-24,De verwaande Hóllandsche Franschman. Blyspél,"Pels, Andries"
1752,1752-08-24,De verwaande Hóllandsche Franschman. Blyspél,Nil Volentibus Arduum group
1752,1752-08-28,Le joueur,"Regnard, Jean François"
1752,1752-08-31,"Géta, tragédie","Péchantré, Nicolas de"
1752,1752-08-31,"Géta, tragédie","Péchantré, Nicolas de"
1752,1752-09-04,L’Étourdi ou les Contretemps,"Molière (ps. Poquelin, Jean Baptiste)"
1752,1752-09-07,De doodelyke minnenyd; treurspel,"Hoeven, Willem van der"
1752,1752-09-09,"Maximien, tragédie","La Chaussée, Pierre-Claude Nivelle de"
1752,1752-09-11,Démocrite,"Regnard, Jean François"
1752,1752-09-14,Électre,"Crébillon, Prosper Jolyot de"
1752,1752-09-16,"Scilla, treurspel","Rotgans, Lukas"
1752,1752-09-18,De dood van de graaven Egmond en Hoorne. Treurspel,"Asselijn, Thomas"
1752,1752-09-21,"La folle gageure, ou Les divertissemens de la comtesse de Pembroc","Le Métel de Boisrobert, François"
1752,1752-09-23,Andromaque,"Racine, Jean"
1752,1752-09-23,Andromaque,"Racine, Jean"
