id,date,year,title,production,works,genre,place,author
3926,1773-12-27T23:59:32Z,1773,Armida,[object Object],[object Object],Dramma per musica,Hofteatret/Christiansborg Court Theatre,"Antonio Salieri,Marco Coltellini"
3927,1774-01-07T23:59:32Z,1774,Armida,[object Object],[object Object],Dramma per musica,Hofteatret/Christiansborg Court Theatre,"Antonio Salieri,Marco Coltellini"
3928,1774-01-14T23:59:32Z,1774,Armida,[object Object],[object Object],Dramma per musica,Hofteatret/Christiansborg Court Theatre,"Antonio Salieri,Marco Coltellini"
3929,1774-01-21T23:59:32Z,1774,Armida,[object Object],[object Object],Dramma per musica,Hofteatret/Christiansborg Court Theatre,"Antonio Salieri,Marco Coltellini"
393,1749-10-20T23:59:32Z,1749,Le consentement forcé,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Michel Guyot de Merville
3930,1774-03-25T23:59:32Z,1774,Armida,[object Object],[object Object],Dramma per musica,Hofteatret/Christiansborg Court Theatre,"Antonio Salieri,Marco Coltellini"
3931,1774-04-08T23:59:32Z,1774,Armida,[object Object],[object Object],Dramma per musica,Hofteatret/Christiansborg Court Theatre,"Antonio Salieri,Marco Coltellini"
3932,1774-04-15T23:59:32Z,1774,Armida,[object Object],[object Object],Dramma per musica,Hofteatret/Christiansborg Court Theatre,"Antonio Salieri,Marco Coltellini"
3933,1774-05-13T23:59:32Z,1774,Armida,[object Object],[object Object],Dramma per musica,Hofteatret/Christiansborg Court Theatre,"Antonio Salieri,Marco Coltellini"
3934,1774-11-18T23:59:32Z,1774,Armida,[object Object],[object Object],Dramma per musica,Hofteatret/Christiansborg Court Theatre,"Antonio Salieri,Marco Coltellini"
3935,1774-12-16T23:59:32Z,1774,Armida,[object Object],[object Object],Dramma per musica,Hofteatret/Christiansborg Court Theatre,"Antonio Salieri,Marco Coltellini"
3936,1774-12-23T23:59:32Z,1774,Armida,[object Object],[object Object],Dramma per musica,Hofteatret/Christiansborg Court Theatre,"Antonio Salieri,Marco Coltellini"
3937,1775-01-06T23:59:32Z,1775,Armida,[object Object],[object Object],Dramma per musica,Hofteatret/Christiansborg Court Theatre,"Antonio Salieri,Marco Coltellini"
3938,1775-02-17T23:59:32Z,1775,Armida,[object Object],[object Object],Dramma per musica,Hofteatret/Christiansborg Court Theatre,"Antonio Salieri,Marco Coltellini"
3939,1775-03-31T23:59:32Z,1775,Armida,[object Object],[object Object],Dramma per musica,Hofteatret/Christiansborg Court Theatre,"Antonio Salieri,Marco Coltellini"
394,1749-10-23T23:59:32Z,1749,Le consentement forcé,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Michel Guyot de Merville
3940,1755-11-05T23:59:32Z,1755,Demetrio,[object Object],[object Object],Dramma per musica,"Royal Danish Theatre, Kongens Nytorv","Pietro Metastasio,Leonardo Leo"
3941,1755-11-07T23:59:32Z,1755,Demetrio,[object Object],[object Object],Dramma per musica,"Royal Danish Theatre, Kongens Nytorv","Pietro Metastasio,Leonardo Leo"
3942,1769-03-07T23:59:32Z,1769,Demetrio,[object Object],[object Object],Dramma per musica,"Royal Danish Theatre, Kongens Nytorv","Pietro Metastasio,Leonardo Leo"
3943,1769-11-24T23:59:32Z,1769,Demetrio,[object Object],[object Object],Dramma per musica,"Royal Danish Theatre, Kongens Nytorv","Pietro Metastasio,Leonardo Leo"
3944,1769-12-12T23:59:32Z,1769,Demetrio,[object Object],[object Object],Dramma per musica,"Royal Danish Theatre, Kongens Nytorv","Pietro Metastasio,Leonardo Leo"
3945,1770-04-03T23:59:32Z,1770,Demetrio,[object Object],[object Object],Dramma per musica,"Royal Danish Theatre, Kongens Nytorv","Pietro Metastasio,Leonardo Leo"
3946,1770-04-06T23:59:32Z,1770,Demetrio,[object Object],[object Object],Dramma per musica,"Royal Danish Theatre, Kongens Nytorv","Pietro Metastasio,Leonardo Leo"
3947,1754-04-23T23:59:32Z,1754,"L'amour médecin, ou Les quatre médecins",[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv","Molière,Jean-Baptiste Lully"
3948,1754-04-25T23:59:32Z,1754,"L'amour médecin, ou Les quatre médecins",[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv","Molière,Jean-Baptiste Lully"
3949,1754-05-16T23:59:32Z,1754,"L'amour médecin, ou Les quatre médecins",[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv","Molière,Jean-Baptiste Lully"
395,1749-10-29T23:59:32Z,1749,Le consentement forcé,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Michel Guyot de Merville
3950,1754-09-05T23:59:32Z,1754,"L'amour médecin, ou Les quatre médecins",[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv","Molière,Jean-Baptiste Lully"
3951,1756-02-12T23:59:32Z,1756,"L'amour médecin, ou Les quatre médecins",[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv","Molière,Jean-Baptiste Lully"
3952,1758-02-14T23:59:32Z,1758,"L'amour médecin, ou Les quatre médecins",[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv","Molière,Jean-Baptiste Lully"
3953,1758-06-27T23:59:32Z,1758,"L'amour médecin, ou Les quatre médecins",[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv","Molière,Jean-Baptiste Lully"
3954,1759-01-04T23:59:32Z,1759,"L'amour médecin, ou Les quatre médecins",[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv","Molière,Jean-Baptiste Lully"
3955,1759-11-27T23:59:32Z,1759,"L'amour médecin, ou Les quatre médecins",[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv","Molière,Jean-Baptiste Lully"
3956,1760-04-20T23:59:32Z,1760,"L'amour médecin, ou Les quatre médecins",[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv","Molière,Jean-Baptiste Lully"
3957,1760-11-30T23:59:32Z,1760,"L'amour médecin, ou Les quatre médecins",[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv","Molière,Jean-Baptiste Lully"
3958,1764-03-06T23:59:32Z,1764,"L'amour médecin, ou Les quatre médecins",[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv","Molière,Jean-Baptiste Lully"
3959,1764-12-06T23:59:32Z,1764,"L'amour médecin, ou Les quatre médecins",[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv","Molière,Jean-Baptiste Lully"
396,1749-11-13T23:59:32Z,1749,Le consentement forcé,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Michel Guyot de Merville
3960,1767-04-05T23:59:32Z,1767,"L'amour médecin, ou Les quatre médecins",[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv","Molière,Jean-Baptiste Lully"
3961,1769-01-26T23:59:32Z,1769,"L'amour médecin, ou Les quatre médecins",[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv","Molière,Jean-Baptiste Lully"
3962,1770-03-21T23:59:32Z,1770,"L'amour médecin, ou Les quatre médecins",[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv","Molière,Jean-Baptiste Lully"
3963,1773-03-04T23:59:32Z,1773,"L'amour médecin, ou Les quatre médecins",[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv","Molière,Jean-Baptiste Lully"
3964,1754-03-14T23:59:32Z,1754,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
3965,1754-03-19T23:59:32Z,1754,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
3966,1754-04-28T23:59:32Z,1754,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
3967,1754-06-04T23:59:32Z,1754,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
3968,1754-09-03T23:59:32Z,1754,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
3969,1754-12-17T23:59:32Z,1754,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
397,1749-12-18T23:59:32Z,1749,Le consentement forcé,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Michel Guyot de Merville
3970,1755-03-04T23:59:32Z,1755,L'ami de tout le monde,[object Object],[object Object],Comedy,"Royal Danish Theatre, Kongens Nytorv",Marc-Antoine Legrand
